id,group_id,student_id,lesson_id,date,day,status,created_at,updated_at
1,1,7,204,2025-01-31,Friday,Present,2025-01-31 10:41:48,2025-01-31 10:41:48
2,7,17,409,2025-02-05,Wednesday,Present,2025-02-05 12:12:47,2025-02-05 12:12:47
3,7,19,409,2025-02-05,Wednesday,Present,2025-02-05 12:12:47,2025-02-05 12:12:47
4,7,22,409,2025-02-05,Wednesday,Present,2025-02-05 12:12:47,2025-02-05 12:12:47
5,7,25,409,2025-02-05,Wednesday,Present,2025-02-05 12:12:47,2025-02-05 12:12:47
6,7,29,409,2025-02-05,Wednesday,Present,2025-02-05 12:12:47,2025-02-05 12:12:47
7,7,31,409,2025-02-05,Wednesday,Present,2025-02-05 12:12:47,2025-02-05 12:12:47
8,7,33,409,2025-02-05,Wednesday,Present,2025-02-05 12:12:47,2025-02-05 12:12:47
9,7,27,409,2025-02-05,Wednesday,Absent,2025-02-05 12:12:47,2025-02-05 12:12:47
10,7,17,389,2025-02-05,Wednesday,Present,2025-02-05 12:15:30,2025-02-05 12:15:30
11,7,19,389,2025-02-05,Wednesday,Present,2025-02-05 12:15:30,2025-02-05 12:15:30
12,7,22,389,2025-02-05,Wednesday,Present,2025-02-05 12:15:30,2025-02-05 12:15:30
13,7,25,389,2025-02-05,Wednesday,Present,2025-02-05 12:15:30,2025-02-05 12:15:30
14,7,27,389,2025-02-05,Wednesday,Present,2025-02-05 12:15:30,2025-02-05 12:15:30
15,7,29,389,2025-02-05,Wednesday,Present,2025-02-05 12:15:30,2025-02-05 12:15:30
16,7,31,389,2025-02-05,Wednesday,Present,2025-02-05 12:15:30,2025-02-05 12:15:30
17,7,33,389,2025-02-05,Wednesday,Present,2025-02-05 12:15:30,2025-02-05 12:15:30
26,7,17,390,2025-02-05,Wednesday,Present,2025-02-05 12:28:01,2025-02-05 12:28:01
27,7,19,390,2025-02-05,Wednesday,Present,2025-02-05 12:28:01,2025-02-05 12:28:01
28,7,22,390,2025-02-05,Wednesday,Present,2025-02-05 12:28:01,2025-02-05 12:28:01
29,7,25,390,2025-02-05,Wednesday,Present,2025-02-05 12:28:01,2025-02-05 12:28:01
30,7,27,390,2025-02-05,Wednesday,Present,2025-02-05 12:28:01,2025-02-05 12:28:01
31,7,29,390,2025-02-05,Wednesday,Present,2025-02-05 12:28:01,2025-02-05 12:28:01
32,7,31,390,2025-02-05,Wednesday,Present,2025-02-05 12:28:01,2025-02-05 12:28:01
33,7,33,390,2025-02-05,Wednesday,Present,2025-02-05 12:28:01,2025-02-05 12:28:01
34,7,17,389,2025-02-06,Thursday,Present,2025-02-06 13:09:49,2025-02-06 13:09:49
35,7,19,389,2025-02-06,Thursday,Present,2025-02-06 13:09:49,2025-02-06 13:09:49
36,7,22,389,2025-02-06,Thursday,Present,2025-02-06 13:09:49,2025-02-06 13:09:49
37,7,25,389,2025-02-06,Thursday,Present,2025-02-06 13:09:49,2025-02-06 13:09:49
38,7,27,389,2025-02-06,Thursday,Present,2025-02-06 13:09:49,2025-02-06 13:09:49
39,7,29,389,2025-02-06,Thursday,Present,2025-02-06 13:09:49,2025-02-06 13:09:49
40,7,31,389,2025-02-06,Thursday,Present,2025-02-06 13:09:49,2025-02-06 13:09:49
41,7,33,389,2025-02-06,Thursday,Present,2025-02-06 13:09:49,2025-02-06 13:09:49
111,2,39,209,2025-02-09,Sunday,Present,2025-02-08 12:56:38,2025-02-08 12:56:38
112,2,39,207,2025-02-08,Saturday,Present,2025-02-08 12:56:38,2025-02-08 12:56:38
113,2,39,206,2025-02-07,Friday,Present,2025-02-08 12:56:38,2025-02-08 12:56:38
114,7,17,390,2025-02-10,Monday,Present,2025-02-10 09:13:21,2025-02-10 09:13:21
115,7,19,390,2025-02-10,Monday,Present,2025-02-10 09:13:21,2025-02-10 09:13:21
116,7,22,390,2025-02-10,Monday,Present,2025-02-10 09:13:21,2025-02-10 09:13:21
117,7,25,390,2025-02-10,Monday,Present,2025-02-10 09:13:21,2025-02-10 09:13:21
118,7,27,390,2025-02-10,Monday,Present,2025-02-10 09:13:21,2025-02-10 09:13:21
119,7,29,390,2025-02-10,Monday,Present,2025-02-10 09:13:21,2025-02-10 09:13:21
120,7,31,390,2025-02-10,Monday,Present,2025-02-10 09:13:21,2025-02-10 09:13:21
121,7,33,390,2025-02-10,Monday,Present,2025-02-10 09:13:21,2025-02-10 09:13:21
122,16,54,381,2025-02-13,Thursday,Present,2025-02-10 12:35:11,2025-02-10 12:35:11
129,11,39,414,2025-02-11,Tuesday,Present,2025-02-11 09:27:18,2025-02-11 09:27:18
130,11,55,414,2025-02-11,Tuesday,Absent,2025-02-11 09:27:18,2025-02-11 09:27:18
143,2,39,215,2025-02-11,Tuesday,Present,2025-02-11 10:52:07,2025-02-11 10:52:07
150,10,39,408,2025-02-11,Tuesday,Present,2025-02-11 11:12:44,2025-02-11 11:12:44
151,10,55,408,2025-02-11,Tuesday,Absent,2025-02-11 11:12:44,2025-02-11 11:12:44
152,11,39,504,2025-02-12,Wednesday,Present,2025-02-11 11:13:46,2025-02-11 11:13:46
153,11,55,504,2025-02-12,Wednesday,Absent,2025-02-11 11:13:46,2025-02-11 11:13:46
160,18,39,3,2025-02-12,Wednesday,Present,2025-02-11 12:05:37,2025-02-11 12:05:37
161,18,55,3,2025-02-12,Wednesday,Absent,2025-02-11 12:05:37,2025-02-11 12:05:37
166,2,39,194,2025-02-12,Wednesday,Present,2025-02-12 05:40:20,2025-02-12 05:40:20
167,11,39,408,2025-02-13,Thursday,Present,2025-02-12 07:21:10,2025-02-12 07:21:10
168,11,55,408,2025-02-13,Thursday,Absent,2025-02-12 07:21:10,2025-02-12 07:21:10
169,5,39,425,2025-02-12,Wednesday,Present,2025-02-12 07:32:26,2025-02-12 07:32:26
170,10,39,442,2025-02-12,Wednesday,Present,2025-02-12 07:48:51,2025-02-12 07:48:51
