id,franchise_id,instructor_id,cw_uid,group_name,start_date,start_time,end_time,payer_id,price_type_id,program_id,pos_id,total_revenue_share,your_revenue_share,value,communication_mode,frequency,day,number_of_lessons,status,deleted_at,created_at,updated_at
1,5,6,GRP-25KZ001,RoboKids,2025-02-01,"04:00 PM","05:00 PM",1,3,18,2,,,₹ 5000,,daily,[],20,active,,2025-01-31 10:38:11,2025-01-31 10:38:18
2,2,10,GRP-25YB002,Robobrick Grp Elementary Instanbul Turkey Group Open,2025-02-11,11:01 AM,11:55 AM,1,1,18,5,,,1200,,daily,[],10,archived,,2025-02-03 05:33:49,2025-02-17 06:33:04
3,9,12,GRP-25AH003,APO1,2025-02-06,"09:45 AM",10:15 AM,2,3,5,3,,,500,,weekly,"[""Thursday""]",20,active,,2025-02-03 10:27:20,2025-02-14 06:34:44
4,2,10,GRP-25FB004,Robotics Grp,2025-02-10,11:33 AM,"02:33 PM",1,1,16,5,,,1200,,weekly,"[""Monday""]",20,active,2025-02-18 06:28:10,2025-02-04 06:04:15,2025-02-18 06:28:10
5,2,10,GRP-25OD005,AlgoBuddy Grp,2025-02-04,11:37 AM,"02:37 PM",1,1,12,,,,1200,,daily,,20,active,2025-02-18 06:28:17,2025-02-04 06:08:27,2025-02-18 06:28:17
6,9,12,GRP-25LE006,BC01,2025-02-05,11:15 AM,12:15 PM,1,2,22,3,100,100,,,weekly,"[""Wednesday""]",20,active,,2025-02-04 08:17:23,2025-02-11 04:59:44
7,9,16,GRP-25DH007,AB02,2025-01-02,12:00 PM,"01:15 PM",2,3,12,3,,,$ 500,,weekly,"[""Thursday""]",34,active,,2025-02-04 09:58:28,2025-02-05 12:10:16
8,9,15,GRP-259H008,RT01,2025-02-07,"04:30 PM","05:45 PM",1,3,10,4,,,$ 500,,weekly,"[""Friday""]",20,active,,2025-02-04 10:06:55,2025-02-04 10:06:55
9,9,24,GRP-25IW009,AB01,2025-02-06,"04:30 PM","05:15 PM",2,3,12,,,,$ 500,,weekly,"[""Thursday""]",31,active,,2025-02-04 11:06:47,2025-02-05 12:10:27
10,2,10,GRP-25SS010,Test,2025-02-10,"04:10 PM","05:10 PM",1,2,12,5,5000,20,,,daily,[],20,active,2025-02-18 06:28:14,2025-02-07 10:40:57,2025-02-18 06:28:14
11,2,10,GRP-25MS011,Maths,2025-02-11,"01:00 PM","03:00 PM",1,1,12,5,,,50000,,daily,[],20,inactive,2025-02-18 06:28:20,2025-02-07 10:45:57,2025-02-18 06:28:20
12,9,24,GRP-25NN012,BB01,2025-02-07,11:45 AM,12:45 PM,1,3,7,4,,,$ 500,,other,"[""Friday""]",20,active,,2025-02-07 10:47:47,2025-02-07 10:49:24
13,2,10,GRP-25IN013,Algo Play,2025-02-18,12:09 PM,"01:09 PM",2,1,13,5,,,1000,4,daily,[],20,active,,2025-02-07 11:51:04,2025-02-18 06:40:36
14,2,10,GRP-25LX014,AP 02,2025-02-23,"05:30 PM","06:30 PM",1,1,12,6,,,20,,daily,[],26,archived,,2025-02-07 12:01:31,2025-02-17 13:13:02
15,49,50,GRP-25Q3015,Test grp1,2025-02-22,12:00 PM,"01:00 PM",1,1,1,7,,,1000,,daily,[],7,active,,2025-02-09 19:42:41,2025-02-19 09:47:44
16,47,52,GRP-25G7016,Test Group,2025-02-13,"01:00 PM","02:15 PM",2,2,5,8,100,30,,,weekly,"[""Thursday""]",20,active,,2025-02-10 12:00:52,2025-02-10 12:24:08
18,2,10,GRP-250X018,Brick,2025-02-24,12:52 PM,"04:52 PM",1,1,22,6,,,1000,,weekly,"[""Monday""]",20,active,2025-02-18 06:28:26,2025-02-11 05:29:24,2025-02-18 06:28:26
19,2,10,GRP-258A019,Robotics,2025-02-12,"01:45 PM","04:45 PM",2,1,16,9,,,1000,,daily,[],20,archived,,2025-02-12 08:16:38,2025-02-17 12:23:44
20,47,52,GRP-258G020,Group test,2025-02-19,12:26 PM,"01:26 PM",1,2,1,10,100,30,,,weekly,"[""Wednesday""]",7,active,,2025-02-13 10:28:55,2025-02-14 10:08:29
21,40,42,GRP-25QF021,AlgoPlay-01234,2025-03-04,11:00 AM,12:00 PM,1,1,5,11,,,20,,weekly,"[""Tuesday""]",34,active,,2025-02-13 10:29:29,2025-02-14 06:25:48
22,47,52,GRP-25TZ022,ghju,2025-02-19,12:50 PM,"01:50 PM",1,2,2,,100,30,,,weekly,"[""Wednesday""]",22,active,,2025-02-13 10:52:00,2025-02-13 10:54:14
23,47,52,GRP-25TG023,hfjkfdg,2025-02-19,12:54 PM,"02:14 PM",2,2,13,10,40,20,,,weekly,"[""Wednesday""]",15,archived,,2025-02-13 10:55:03,2025-02-14 14:53:14
