"id","student_id","group_id","created_at","updated_at"
"1","7","1","2025-01-31 16:11:23","2025-01-31 16:11:23"
"2","17","7","2025-02-04 16:00:02","2025-02-04 16:00:02"
"3","19","7","2025-02-04 16:03:28","2025-02-04 16:03:28"
"4","22","7","2025-02-04 16:32:31","2025-02-04 16:32:31"
"5","25","7","2025-02-05 14:42:49","2025-02-05 14:42:49"
"6","27","7","2025-02-05 14:55:05","2025-02-05 14:55:05"
"7","29","7","2025-02-05 15:00:26","2025-02-05 15:00:26"
"8","31","7","2025-02-05 15:06:20","2025-02-05 15:06:20"
"9","33","7","2025-02-05 17:37:08","2025-02-05 17:37:08"
"10","35","8","2025-02-06 15:49:16","2025-02-06 15:49:16"
"11","37","8","2025-02-06 16:58:23","2025-02-06 16:58:23"
"44","39","2","2025-02-08 18:26:38","2025-02-08 18:26:38"
"45","54","16","2025-02-10 18:05:04","2025-02-10 18:05:04"
"46","55","4","2025-02-11 11:16:42","2025-02-11 11:16:42"
"47","57","2","2025-02-18 07:14:53","2025-02-18 07:14:53"
"48","57","4","2025-02-18 07:14:53","2025-02-18 07:14:53"
"49","57","10","2025-02-18 07:14:53","2025-02-18 07:14:53"
"50","57","5","2025-02-18 07:14:53","2025-02-18 07:14:53"
"51","57","11","2025-02-18 07:14:53","2025-02-18 07:14:53"
"52","57","13","2025-02-18 07:14:53","2025-02-18 07:14:53"
"53","59","2","2025-02-18 07:16:41","2025-02-18 07:16:41"
"54","59","4","2025-02-18 07:16:41","2025-02-18 07:16:41"
"55","59","10","2025-02-18 07:16:41","2025-02-18 07:16:41"
"56","59","5","2025-02-18 07:16:41","2025-02-18 07:16:41"
"57","59","11","2025-02-18 07:16:41","2025-02-18 07:16:41"
"58","59","13","2025-02-18 07:16:41","2025-02-18 07:16:41"
"59","61","2","2025-02-18 07:17:03","2025-02-18 07:17:03"
"60","61","4","2025-02-18 07:17:03","2025-02-18 07:17:03"
"61","61","10","2025-02-18 07:17:03","2025-02-18 07:17:03"
"62","61","5","2025-02-18 07:17:03","2025-02-18 07:17:03"
"63","61","11","2025-02-18 07:17:03","2025-02-18 07:17:03"
"64","61","13","2025-02-18 07:17:03","2025-02-18 07:17:03"
"65","63","2","2025-02-18 07:17:21","2025-02-18 07:17:21"
"66","63","4","2025-02-18 07:17:21","2025-02-18 07:17:21"
"67","63","10","2025-02-18 07:17:21","2025-02-18 07:17:21"
"68","63","5","2025-02-18 07:17:21","2025-02-18 07:17:21"
"69","63","11","2025-02-18 07:17:21","2025-02-18 07:17:21"
"70","63","13","2025-02-18 07:17:21","2025-02-18 07:17:21"
"71","65","2","2025-02-18 07:18:47","2025-02-18 07:18:47"
"72","65","4","2025-02-18 07:18:47","2025-02-18 07:18:47"
"73","65","10","2025-02-18 07:18:47","2025-02-18 07:18:47"
"74","65","5","2025-02-18 07:18:47","2025-02-18 07:18:47"
"75","65","11","2025-02-18 07:18:47","2025-02-18 07:18:47"
"76","65","13","2025-02-18 07:18:47","2025-02-18 07:18:47"
"77","67","2","2025-02-18 07:18:58","2025-02-18 07:18:58"
"78","67","4","2025-02-18 07:18:58","2025-02-18 07:18:58"
"79","67","10","2025-02-18 07:18:58","2025-02-18 07:18:58"
"80","67","5","2025-02-18 07:18:58","2025-02-18 07:18:58"
"81","67","11","2025-02-18 07:18:58","2025-02-18 07:18:58"
"82","67","13","2025-02-18 07:18:58","2025-02-18 07:18:58"
"83","69","2","2025-02-18 07:19:13","2025-02-18 07:19:13"
"84","69","4","2025-02-18 07:19:13","2025-02-18 07:19:13"
"85","69","10","2025-02-18 07:19:13","2025-02-18 07:19:13"
"86","69","5","2025-02-18 07:19:13","2025-02-18 07:19:13"
"87","69","11","2025-02-18 07:19:13","2025-02-18 07:19:13"
"88","69","13","2025-02-18 07:19:13","2025-02-18 07:19:13"
"89","71","2","2025-02-18 07:19:32","2025-02-18 07:19:32"
"90","71","4","2025-02-18 07:19:32","2025-02-18 07:19:32"
"91","71","10","2025-02-18 07:19:32","2025-02-18 07:19:32"
"92","71","5","2025-02-18 07:19:32","2025-02-18 07:19:32"
"93","71","11","2025-02-18 07:19:32","2025-02-18 07:19:32"
"94","71","13","2025-02-18 07:19:32","2025-02-18 07:19:32"
"95","73","2","2025-02-18 07:19:46","2025-02-18 07:19:46"
"96","73","4","2025-02-18 07:19:46","2025-02-18 07:19:46"
"97","73","10","2025-02-18 07:19:46","2025-02-18 07:19:46"
"98","73","5","2025-02-18 07:19:46","2025-02-18 07:19:46"
"99","73","11","2025-02-18 07:19:46","2025-02-18 07:19:46"
"100","73","13","2025-02-18 07:19:46","2025-02-18 07:19:46"
"101","75","2","2025-02-18 07:20:03","2025-02-18 07:20:03"
"102","75","4","2025-02-18 07:20:03","2025-02-18 07:20:03"
"103","75","10","2025-02-18 07:20:03","2025-02-18 07:20:03"
"104","75","5","2025-02-18 07:20:03","2025-02-18 07:20:03"
"105","75","11","2025-02-18 07:20:03","2025-02-18 07:20:03"
"106","75","13","2025-02-18 07:20:03","2025-02-18 07:20:03"
